"country_id","country_name","country_name_es","continent","rank_by_continent","rank_all","population","confirmed","death","recovered"
south_africa,South Africa,Sudáfrica,Africa,1,49,59308690,165909,2701,49353
spain,Spain,España,Europe,1,2,46754783,8907366,843801,3338369
sri_lanka,Sri Lanka,Sri Lanka,Asia,30,104,21413250,17478,273,4273
sudan,Sudan,Sudán,Africa,20,117,43849269,10136,718,925
suriname,Suriname,Surinam,South America,13,167,586634,478,37,214
sweden,Sweden,Suecia,Europe,11,21,10099270,633010,66240,45275
switzerland,Switzerland,Suiza,Europe,8,15,8654618,1196184,54733,677183
syria,Syria,Siria,Asia,36,150,,1377,104,449
taiwan*,Taiwan*,Taiwán *,Asia,28,101,,20309,288,8550
tanzania,Tanzania,Tanzania,Africa,21,120,,9101,326,2272
thailand,Thailand,Tailandia,Asia,18,55,69799978,118365,1744,75341
timor-leste,Timor-Leste,Timor Oriental,Asia,39,163,1318442,590,0,219
togo,Togo,Togo,Africa,29,134,8278737,3768,221,1904
trinidad_and_tobago,Trinidad and Tobago,Trinidad y Tobago,North America,12,128,1399491,5116,317,1598
tunisia,Tunisia,Túnez,Africa,9,84,11818618,34691,1390,7148
turkey,Turkey,Turquía,Asia,3,9,84339067,3323548,82143,1027991
uganda,Uganda,Uganda,Africa,33,139,45741000,2881,0,1119
ukraine,Ukraine,Ucrania,Europe,19,42,43733759,255478,6566,28060
united_arab_emirates,United Arab Emirates,Emiratos Árabes Unidos,Asia,13,36,9890400,317893,2511,60889
united_kingdom,United Kingdom,Reino Unido,Europe,4,6,67886004,4982327,672873,25689
uruguay,Uruguay,Uruguay,South America,8,96,3473727,23642,432,11711
us,US,EE.UU.,North America,1,1,,31410986,1618717,3413863
uzbekistan,Uzbekistan,Uzbekistán,Asia,25,71,33469199,56056,241,22771
venezuela,Venezuela,Venezuela,South America,9,115,,11377,373,4728
vietnam,Vietnam,Vietnam,Asia,31,109,,13180,0,7893
zambia,Zambia,Zambia,Africa,31,136,18383956,3208,93,1623
zimbabwe,Zimbabwe,Zimbabue,Africa,41,153,14862927,988,131,95
